,title,year,director
148,Flubber,1997,Les Mayfield
149,The Fly,1986,David Cronenberg
150,The Fog,2005,Rupert Wainwright
151,Footloose,2011,Craig Brewer
152,Forbidden Fruit,1921,Cecil B. DeMille
153,Four Brothers,2005,John Singleton
154,Freaky Friday,2003,Mark Waters
155,Friday the 13th,2009,Marcus Nispel
156,Fright Night,2011,Craig Gillespie
157,The Front Page,1974,Billy Wilder
158,Fun with Dick and Jane,2005,Dean Parisot
159,Funny Games,2007,Michael Haneke
160,Gaby,1956,Curtis Bernhardt
161,Gambit,2012,Michael Hoffman
162,The Gambler,2014,Rupert Wyatt
163,The Getaway,1994,Roger Donaldson
164,Get Carter,2000,Stephen Kay
165,The Girl Downstairs,1938,Norman Taurog
166,Gharshana,2004,Gautham Menon
167,Ghost Theater,2015,Hideo Nakata
168,Gloria,1999,Sidney Lumet
169,Godzilla,2014,Gareth Edwards
170,Gone in 60 Seconds,2000,Dominic Sena
171,The Goodbye Girl,2004,Richard Benjamin
172,The Good Companions,1957,J. Lee Thompson
173,Good Morning,1959,Yasujirō Ozu
174,The Good Thief,2002,Neil Jordan
175,Gordon of Ghost City,1933,Ray Taylor
176,The Grudge,2004,Takashi Shimizu
177,Guess Who,2005,Kevin Rodney Sullivan
178,Halloween,2007,Rob Zombie
179,The Hand,1981,Oliver Stone
180,Happy New Year,1987,John G. Avildsen
181,Hara-Kiri: Death of a Samurai,2011,Takashi Miike
182,The Hasty Heart,1983,Martin M. Speer
183,Haunted Gold,1932,Mack V. Wright
184,The Haunting,1999,Jan de Bont
185,Head Above Water,1996,Jim Wilson
186,The Heartbreak Kid,2007,Bobby Farrelly
187,Heat,1995,Michael Mann
188,"Her Majesty, Love",1931,William Dieterle
189,High Noon,2000,Rod Hardy
190,The Hills Have Eyes,2006,Alexandre Aja
191,The Hitcher,2007,Dave Meyers
192,Holiday,1938,George Cukor
193,Homeward Bound: The Incredible Journey,1993,Duwayne Dunham
194,Hoodman Blind,1923,John Ford
195,House on Haunted Hill,1999,William Malone
196,House Of Wax,2005,Jaume Collet-Serra
197,How to Make a Monster,2001,George Huang
198,Hurricane,1979,Jan Troell
199,I Am Omega,2007,Griff Furst
200,I Died A Thousand Times,1955,Stuart Heisler
201,I Married a Monster,1998,Nancy Malone
202,I Saw What You Did,1988,Fred Walton
203,I Spit on Your Grave,2010,Steven R. Monroe
204,I Want to Live!,1983,David Lowell Rich
205,Ice Castles,2010,Donald Wrye
206,In the Good Old Summertime,1949,Robert Z. Leonard
207,Indiscretion of an American Wife,1998,George Kaczender
208,The Initiation of Sarah,2006,Stuart Gillard
209,The In-Laws,2003,Andrew Fleming
210,Insomnia,2002,Christopher Nolan
211,Intersection,1994,Mark Rydell
212,Intermezzo,1939,Gregory Ratoff
213,Interview,2007,Steve Buscemi
214,Invaders from Mars,1986,Tobe Hooper
215,The Invasion,2007,Oliver Hirschbiegel
216,Irma la Douce,1972,Paul Paviot
217,Iron Maze,1991,Hiroaki Yoshida
218,The Italian Job,2003,F. Gary Gray
219,It Happened One Christmas,1977,Donald Wrye
220,It's Alive,2008,Josef Rusnak
221,It's Great to Be Alive,1933,Alfred L. Werker
222,I Accuse,1938,Abel Gance
223,The Jackal,1997,Michael Caton-Jones
