,Title,Year,tomatoMeter,tomatoRating,tomatoReviews,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,imdbRating,imdbVotes,imdbID,Awards,Genre,Language,Country,Director,Rated,Runtime,Actors,Writer,Award_count,Noms_count,Noms+Awards,PrimaryLanguage,PrimaryCountry,PrimaryLangFixed,Crime,Drama,Thriller,Action,Adventure,Film_Noir,Mystery,Comedy,Family,Horror,Sci_Fi,Romance,Music,Fantasy,Western,War,Sport,History,Biography
12,Alfie,2004,49.0,5.5,150.0,51.0,2.9,85252.0,6.2,44018.0,tt0375173,Won 1 Golden Globe. Another 5 wins & 7 nominations.,"Comedy, Drama, Romance",English,"UK, USA",Charles Shyer,R,103.0,"Jude Law, Renée Taylor, Jane Krakowski, Jeff Harding","Bill Naughton (play), Bill Naughton (earlier screenplay), Elaine Pope (screenplay), Charles Shyer (screenplay)",6,7,13,English,UK,English,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13,Algiers,1938,,,,60.0,3.3,905.0,6.9,1772.0,tt0029855,Nominated for 4 Oscars. Another 1 nomination.,"Drama, Mystery, Romance",English,USA,John Cromwell,UNRATED,96.0,"Charles Boyer, Sigrid Gurie, Hedy Lamarr, Joseph Calleia","John Howard Lawson (screenplay), James M. Cain (additional dialogue), Henri La Barthe (from the novel ""Pepe Le Moko"" by)",0,5,5,English,USA,English,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
14,Always,1989,64.0,5.5,22.0,60.0,3.2,22624.0,6.4,22689.0,tt0096794,2 nominations.,"Fantasy, Romance",English,USA,Steven Spielberg,PG,122.0,"Richard Dreyfuss, Holly Hunter, Brad Johnson, John Goodman","Jerry Belson (screenplay), Dalton Trumbo (screenplay), Frederick Hazlitt Brennan (screenplay), Chandler Sprague (story ""A Guy Named Joe""), David Boehm (story ""A Guy Named Joe"")",0,2,2,English,USA,English,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15,The Amityville Horror,2005,23.0,4.2,158.0,52.0,3.2,360463.0,6.0,83118.0,tt0384806,2 wins & 4 nominations.,"Drama, Horror, Mystery",English,USA,Andrew Douglas,R,90.0,"Ryan Reynolds, Melissa George, Jesse James, Jimmy Bennett","Scott Kosar (screenplay), Jay Anson (novel), Sandor Stern (earlier screenplay), George Lutz (material), Kathy Lutz (material)",2,4,6,English,USA,English,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16,And God Created Woman,1988,38.0,5.0,8.0,31.0,2.7,1592.0,4.2,1444.0,tt0092559,1 nomination.,"Comedy, Drama, Romance",English,USA,Roger Vadim,R,100.0,"Rebecca De Mornay, Vincent Spano, Frank Langella, Donovan Leitch Jr.",R.J. Stewart,0,1,1,English,USA,English,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,And Soon the Darkness,2010,17.0,4.8,6.0,16.0,2.4,3033.0,5.2,13998.0,tt1391034,N/A,"Crime, Horror, Mystery","English, Spanish","USA, Argentina, France",Marcos Efron,R,91.0,"Amber Heard, Odette Annable, Karl Urban, Adriana Barraza","Jennifer Derwingson (screenplay), Marcos Efron (screenplay), Brian Clemens, Terry Nation",0,0,0,English,USA,English,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18,Angels in the Outfield,1994,35.0,4.2,20.0,49.0,3.0,353559.0,6.0,22673.0,tt0109127,1 win & 4 nominations.,"Comedy, Family, Fantasy",English,USA,William Dear,PG,102.0,"Danny Glover, Brenda Fricker, Tony Danza, Christopher Lloyd","Dorothy Kingsley, George Wells, Richard Conlin, Dorothy Kingsley (screenplay), George Wells (screenplay), Holly Goldberg Sloan (screenplay)",1,4,5,English,USA,English,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
19,Angel on My Shoulder,1980,,,,,,,6.6,144.0,tt0080371,N/A,Fantasy,English,USA,John Berry,N/A,100.0,"Peter Strauss, Richard Kiley, Barbara Hershey, Janis Paige","Roland Kibbee (based on the screenplay by), George Kirgo, Harry Segall (based on the screenplay by)",0,0,0,English,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Annie,2014,27.0,4.5,143.0,59.0,3.5,53080.0,5.3,26024.0,tt1823664,Nominated for 2 Golden Globes. Another 3 wins & 10 nominations.,"Comedy, Drama, Family",English,USA,Will Gluck,PG,118.0,"Jamie Foxx, Quvenzhané Wallis, Rose Byrne, Bobby Cannavale","Will Gluck (screenplay), Aline Brosh McKenna (screenplay), Thomas Meehan (stage play book), Harold Gray (comic strip ""Little Orphan Annie"")",3,12,15,English,USA,English,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21,Annavaram,2006,,,,62.0,3.7,330.0,4.8,629.0,tt0493389,N/A,"Action, Drama, Romance",Telugu,India,"Srinivasa Rao Bhimaneni, Gridhar, Sippy",N/A,,"Pawan Kalyan, Asin, Sandhya, Lal","Srinivasa Rao Bhimaneni (screenplay), Perarasu (story), Abburi Ravi (dialogue)",0,0,0,Telugu,India,Telugu,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,Another Fine Mess,1930,,,,66.0,3.8,80.0,7.5,1411.0,tt0020643,N/A,"Comedy, Short",English,USA,James Parrott,N/A,28.0,"Stan Laurel, Oliver Hardy",H.M. Walker (dialogue),0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,Anthropophagous 2000,1999,,,,20.0,2.4,108.0,3.8,261.0,tt0202233,N/A,"Horror, Thriller",German,Germany,Andreas Schnaas,N/A,80.0,"Achim Kohlhase, Andre Sobottka, Dirk Thies, Joe Neumann",Karl-Heinz Geisendorf,0,0,0,German,Germany,German,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,April Fool's Day,2008,,,,17.0,2.2,2015.0,3.7,3279.0,tt1018817,N/A,Horror,English,USA,"Mitchell Altieri, Phil Flores",UNRATED,91.0,"Taylor Cole, Josh Henderson, Scout Taylor-Compton, Joe Egender","Mikey Wigart (teleplay), Danilo Bach (story), Danilo Bach (earlier screenplay), Mitchell Altieri (earlier screenplay), Phil Flores (earlier screenplay)",0,0,0,English,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,Aapthamitra,2004,,,,,,,7.3,269.0,tt1339248,4 wins.,"Drama, Thriller",Kannada,India,P. Vasu,N/A,,"Vishnuvardhan, Ramesh Aravind, Soundarya, Prema",N/A,4,0,4,Kannada,India,Kannada,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
