,Title,Year,tomatoMeter,tomatoRating,tomatoReviews,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,imdbRating,imdbVotes,imdbID,Awards,Genre,Language,Country,Director,Rated,Runtime,Actors,Writer,Award_count,Noms_count,Noms+Awards,PrimaryLanguage,PrimaryCountry,PrimaryLangFixed,Crime,Drama,Thriller,Action,Adventure,Film_Noir,Mystery,Comedy,Family,Horror,Sci_Fi,Romance,Music,Fantasy,Western,War,Sport,History,Biography
182,The Haunting,1999,17.0,3.7,90.0,28.0,2.7,128006.0,4.9,59874.0,tt0171363,2 wins & 12 nominations.,"Fantasy, Horror, Mystery",English,USA,Jan de Bont,PG-13,113.0,"Liam Neeson, Catherine Zeta-Jones, Owen Wilson, Lili Taylor","David Self (screenplay), Shirley Jackson (novel)",2,12,14,English,USA,English,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
183,Head Above Water,1996,,,,,,292.0,6.0,6494.0,tt0116502,1 win & 1 nomination.,"Comedy, Thriller",English,USA,Jim Wilson,PG-13,92.0,"Harvey Keitel, Cameron Diaz, Craig Sheffer, Billy Zane","Eirik Ildahl (screenplay), Geir Eriksen (screenplay), Theresa Marie (screenplay)",1,1,2,English,USA,English,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
184,The Heartbreak Kid,2007,29.0,4.7,156.0,37.0,2.9,315122.0,5.8,73188.0,tt0408839,1 win.,"Comedy, Romance","English, Spanish",USA,"Bobby Farrelly, Peter Farrelly",R,116.0,"Ben Stiller, Malin Akerman, Michelle Monaghan, Jerry Stiller","Scot Armstrong (screenplay), Leslie Dixon (screenplay), Bobby Farrelly (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bruce Jay Friedman (short story ""A Change of Plan""), Neil Simon",1,0,1,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
185,Heat,1995,86.0,7.8,78.0,94.0,3.9,220166.0,8.2,443626.0,tt0113277,12 nominations.,"Action, Crime, Drama","English, Spanish",USA,Michael Mann,R,170.0,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",Michael Mann,0,12,12,English,USA,English,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,"Her Majesty, Love",1931,,,,0.0,2.6,15.0,6.2,148.0,tt0021952,N/A,Musical,English,USA,William Dieterle,N/A,75.0,"Marilyn Miller, Ben Lyon, W.C. Fields, Leon Errol","Rudolph Bernauer (based on a story by), Rudolf Österreicher (based on a story by), Robert Lord (screen play & dialogue), Arthur Caesar (screen play & dialogue)",0,0,0,English,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
187,High Noon,2000,60.0,5.6,5.0,61.0,3.3,2531.0,5.6,405.0,tt0244536,2 nominations.,"Drama, Western","English, Spanish",USA,Rod Hardy,PG-13,88.0,"Tom Skerritt, Susanna Thompson, Reed Diamond, David LeReaney","John W. Cunningham (magazine story ""The Tin Star""), Carl Foreman, Carl Foreman (teleplay), T.S. Cook (teleplay)",0,2,2,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
188,The Hills Have Eyes,2006,49.0,5.3,136.0,58.0,3.1,392269.0,6.4,133292.0,tt0454841,2 wins & 7 nominations.,Horror,English,USA,Alexandre Aja,R,107.0,"Aaron Stanford, Kathleen Quinlan, Vinessa Shaw, Emilie de Ravin","Alexandre Aja (screenplay), Grégory Levasseur (screenplay), Wes Craven",2,7,9,English,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
189,The Hitcher,2007,21.0,3.8,96.0,52.0,3.1,422181.0,5.6,35097.0,tt0455960,2 wins & 1 nomination.,"Crime, Horror",English,USA,Dave Meyers,R,84.0,"Sean Bean, Sophia Bush, Zachary Knighton, Neal McDonough","Eric Red (screenplay), Jake Wade Wall (screenplay), Eric Bernt (screenplay), Eric Red",2,1,3,English,USA,English,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,Holiday,1938,100.0,9.1,22.0,90.0,4.1,6547.0,7.9,10871.0,tt0030241,N/A,"Comedy, Romance",English,USA,George Cukor,APPROVED,95.0,"Katharine Hepburn, Cary Grant, Doris Nolan, Lew Ayres","Donald Ogden Stewart (screenplay), Sidney Buchman (screenplay), Philip Barry (from the play by)",0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
191,Homeward Bound: The Incredible Journey,1993,88.0,6.6,24.0,71.0,3.2,266605.0,6.9,33946.0,tt0107131,N/A,"Adventure, Comedy, Drama",English,USA,Duwayne Dunham,G,84.0,"Don Alder, Ed Bernard, Kevin Chevalia, Anne Christianson","Sheila Burnford (novel), Caroline Thompson (screenplay), Linda Woolverton (screenplay)",0,0,0,English,USA,English,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
192,Hoodman Blind,1923,,,,,,,3.4,18.0,tt0014999,N/A,Drama,N/A,USA,John Ford,N/A,60.0,"David Butler, Gladys Hulette, Regina Connelly, Frank Campeau","Wilson Barrett (play), Henry Arthur Jones (play), Charles Kenyon",0,0,0,N/A,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,House on Haunted Hill,1999,28.0,4.5,57.0,42.0,2.9,89287.0,5.6,45999.0,tt0185371,1 win & 2 nominations.,"Horror, Mystery, Thriller",English,USA,William Malone,R,93.0,"Geoffrey Rush, Famke Janssen, Taye Diggs, Peter Gallagher","Robb White (story), Dick Beebe (screenplay)",1,2,3,English,USA,English,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
194,House of Wax,2005,25.0,4.3,151.0,42.0,2.7,404298.0,5.3,96025.0,tt0397065,5 wins & 10 nominations.,Horror,English,"Australia, USA",Jaume Collet-Serra,R,108.0,"Elisha Cuthbert, Chad Michael Murray, Brian Van Holt, Paris Hilton","Charles Belden (story), Chad Hayes (screenplay), Carey Hayes (screenplay)",5,10,15,English,Australia,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,How to Make a Monster,2001,,,,30.0,2.5,574.0,4.4,1521.0,tt0281919,1 nomination.,"Horror, Sci-Fi, Thriller",English,USA,George Huang,R,91.0,"Steven Culp, Clea DuVall, Tyler Mane, Jason Marsden",George Huang,0,1,1,English,USA,English,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
196,Hurricane,1979,50.0,4.7,6.0,43.0,3.6,169.0,4.4,419.0,tt0079319,N/A,"Adventure, Drama",English,"USA, Netherlands",Jan Troell,PG,120.0,"Jason Robards, Mia Farrow, Max von Sydow, Trevor Howard","James Norman Hall (novel), Charles Nordhoff (novel), Lorenzo Semple Jr.",0,0,0,English,USA,English,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,I Am Omega,2007,,,,14.0,2.0,810.0,3.3,2755.0,tt1075746,N/A,"Action, Horror, Sci-Fi",English,USA,Griff Furst,NOT RATED,91.0,"Mark Dacascos, Geoff Meed, Jennifer Lee Wiggins, Ryan Lloyd","Richard Matheson (novel), Geoff Meed (screenplay)",0,0,0,English,USA,English,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
198,I Died a Thousand Times,1955,,,,46.0,3.3,30.0,6.4,654.0,tt0048190,N/A,"Crime, Drama, Film-Noir",English,USA,Stuart Heisler,NOT RATED,95.0,"Jack Palance, Shelley Winters, Lori Nelson, Lee Marvin",W.R. Burnett,0,0,0,English,USA,English,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
199,I Married a Monster,1998,,,,,,11.0,4.3,182.0,tt0162999,N/A,"Horror, Sci-Fi",English,USA,Nancy Malone,PG-13,90.0,"Richard Burgi, Susan Walters, Tim Ryan, Barbara Niven","Duane Poole, Louis Vittes (screenplay)",0,0,0,English,USA,English,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
200,I Saw What You Did,1988,,,,,,,5.9,490.0,tt0095344,N/A,"Drama, Horror, Thriller",English,USA,Fred Walton,NOT RATED,93.0,"Shawnee Smith, Tammy Lauren, Candace Cameron Bure, Robert Carradine","Cynthia Cidre (teleplay), Ursula Curtiss (from a novel by)",0,0,0,English,USA,English,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
201,I Spit on Your Grave,2010,34.0,4.4,56.0,48.0,3.1,10521.0,6.3,57893.0,tt1242432,2 nominations.,"Horror, Thriller",English,USA,Steven R. Monroe,R,108.0,"Sarah Butler, Jeff Branson, Andrew Howard, Daniel Franzese","Adam Rockoff (screenplay), Meir Zarchi (film: Day of the Woman)",0,2,2,English,USA,English,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
202,I Want to Live,1983,,,,63.0,3.1,46.0,6.9,125.0,tt0085710,N/A,"Biography, Drama",English,USA,David Lowell Rich,N/A,100.0,"Lindsay Wagner, Martin Balsam, Pamela Reed, Harry Dean Stanton","Gordon Cotler, Nelson Gidding, Barbara Graham (letters), Don Mankiewicz, Ed Montgomery (articles)",0,0,0,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
203,Ice Castles,2010,,,,,,,6.4,1900.0,tt1411276,N/A,"Drama, Romance, Sport",English,"USA, Canada",Donald Wrye,PG,95.0,"Taylor Firth, Rob Mayes, Henry Czerny, Morgan Kelly","Donald Wrye (teleplay), Gary L. Baim (teleplay), Karen Bloch Morse (teleplay), Gary L. Baim (story)",0,0,0,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
204,In the Good Old Summertime,1949,71.0,6.5,7.0,80.0,3.8,3974.0,7.2,2548.0,tt0041507,1 nomination.,"Comedy, Musical, Romance",English,USA,Robert Z. Leonard,APPROVED,102.0,"Judy Garland, Van Johnson, S.Z. Sakall, Spring Byington","Albert Hackett (written for the screen by), Frances Goodrich (written for the screen by), Ivan Tors (written for the screen by), Samson Raphaelson (screenplay), Miklós László (play)",0,1,1,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
205,Indiscretion of an American Wife,1998,,,,,,31.0,6.3,84.0,tt0193240,N/A,Drama,English,USA,George Kaczender,N/A,105.0,"Anne Archer, Michael Murphy, Elizabeth Page, Bruce McGuire",Emily Tracy,0,0,0,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,The Initiation of Sarah,2006,,,,50.0,3.3,2512.0,5.4,1453.0,tt0795403,1 nomination.,"Horror, Thriller",English,USA,Stuart Gillard,N/A,90.0,"Mika Boorem, Summer Glau, JoAnna Garcia Swisher, Tessa Thompson","Dan Berendsen (teleplay), Tom Holland (story), Carol Saraceno (story), Don Ingalls (teleplay of 1978 television movie ""The Initiation of Sarah""), Carol Saraceno (teleplay of 1978 television movie ""The Initiation of Sarah""), Kenette Gfeller (teleplay of 1978 television movie ""The Initiation of Sarah""), Tom Holland (story of 1978 television movie ""The Initiation of Sarah""), Carol Saraceno (story of 1978 television movie ""The Initiation of Sarah"")",0,1,1,English,USA,English,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
207,The In-Laws,2003,34.0,4.9,129.0,40.0,2.9,15716.0,5.7,14190.0,tt0314786,N/A,"Action, Comedy, Thriller","English, French, Mandarin","USA, Germany, Canada",Andrew Fleming,PG-13,98.0,"Michael Douglas, Michael Bodnar, Vladimir Radian, Robin Tunney","Andrew Bergman (screenplay), Nat Mauldin (screenplay), Ed Solomon (screenplay)",0,0,0,English,USA,English,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,Insomnia,2002,92.0,7.7,200.0,76.0,3.3,104094.0,7.2,223467.0,tt0278504,1 win & 10 nominations.,"Drama, Mystery, Thriller",English,"USA, Canada",Christopher Nolan,R,118.0,"Al Pacino, Martin Donovan, Oliver 'Ole' Zemen, Hilary Swank","Hillary Seitz (screenplay), Nikolaj Frobenius, Erik Skjoldbjærg",1,10,11,English,USA,English,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209,Intersection,1994,7.0,3.4,28.0,40.0,2.8,5872.0,5.2,6134.0,tt0110146,2 wins.,"Drama, Romance",English,USA,Mark Rydell,R,98.0,"Richard Gere, Sharon Stone, Lolita Davidovich, Martin Landau","David Rayfiel (screenplay), Marshall Brickman (screenplay), Paul Guimard (novel), Paul Guimard (earlier screenplay), Jean-Loup Dabadie (earlier screenplay), Claude Sautet (earlier screenplay)",2,0,2,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,Intermezzo: A Love Story,1939,100.0,7.4,9.0,69.0,3.4,1406.0,6.8,1821.0,tt0031491,N/A,"Romance, Drama",English,USA,Gregory Ratoff,APPROVED,70.0,"Leslie Howard, Ingrid Bergman, Edna Best, John Halliday","George O'Neil (screen play), Gösta Stevens (original story), Gustaf Molander (original story)",0,0,0,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
211,Interview,2007,57.0,6.0,123.0,54.0,3.2,25847.0,6.9,12316.0,tt0480269,1 win & 3 nominations.,Drama,English,"USA, Canada, Netherlands",Steve Buscemi,R,84.0,"Steve Buscemi, Sienna Miller, Michael Buscemi, Tara Elders","David Schechter, Theo van Gogh (based on the film by), Theodor Holman (screenplay), Hans Teeuwen (idea), Steve Buscemi (screenplay)",1,3,4,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Invaders from Mars,1986,36.0,4.5,14.0,34.0,2.8,3469.0,5.5,5374.0,tt0091276,2 nominations.,"Horror, Sci-Fi",English,USA,Tobe Hooper,PG,100.0,"Karen Black, Hunter Carson, Timothy Bottoms, Laraine Newman","Richard Blake (based on a screenplay by), Dan O'Bannon (screenplay), Don Jakoby (screenplay)",0,2,2,English,USA,English,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
213,The Invasion,2007,19.0,4.3,162.0,40.0,3.0,235967.0,5.9,65838.0,tt0427392,1 win & 1 nomination.,"Sci-Fi, Thriller","English, Russian","USA, Australia","Oliver Hirschbiegel, James McTeigue",PG-13,99.0,"Nicole Kidman, Daniel Craig, Jeremy Northam, Jackson Bond","David Kajganich (screenplay), Jack Finney (novel)",1,1,2,English,USA,English,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
214,Irma la Douce,1972,,,,,,,8.2,10.0,tt0308416,N/A,"Comedy, Romance",French,France,Paul Paviot,N/A,,"Marie-Claude Mestral, Jean-Pierre Moulin, Armand Mestral, Raoul Delfosse",Alexandre Breffort (play),0,0,0,French,France,French,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
215,Iron Maze,1991,,,,25.0,2.8,322.0,4.5,546.0,tt0102128,1 win & 2 nominations.,"Drama, Thriller",English,"Japan, USA",Hiroaki Yoshida,R,104.0,"Jeff Fahey, Bridget Fonda, Hiroaki Murakami, J.T. Walsh","Ryûnosuke Akutagawa (story ""In a Grove""), Hiroaki Yoshida (screen story), Tim Metcalfe (screen story), Tim Metcalfe (screenplay)",1,2,3,English,Japan,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,The Italian Job,2003,73.0,6.4,179.0,80.0,3.5,567074.0,7.0,292014.0,tt0317740,7 wins & 7 nominations.,"Action, Crime, Thriller","English, Russian, Italian","USA, France, UK",F. Gary Gray,PG-13,111.0,"Mark Wahlberg, Charlize Theron, Donald Sutherland, Jason Statham","Troy Kennedy-Martin, Donna Powers (screenplay), Wayne Powers (screenplay)",7,7,14,English,USA,English,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,It Happened One Christmas,1977,,,,,,,6.0,477.0,tt0076213,N/A,"Comedy, Fantasy",English,USA,Donald Wrye,N/A,109.0,"Marlo Thomas, Orson Welles, Wayne Rogers, Cloris Leachman","Philip Van Doren Stern (story ""The Greatest Gift""), Lionel Chetwynd (written for television by), Frances Goodrich (screenplay), Albert Hackett (screenplay), Frank Capra (screenplay), Jo Swerling (screenplay)",0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
218,It's Alive,2008,,,,,,,3.5,2326.0,tt1172060,N/A,"Horror, Sci-Fi",English,USA,Josef Rusnak,R,80.0,"Bijou Phillips, James Murray, Raphaël Coleman, Owen Teale","Larry Cohen (screenplay), Paul Sopocy (screenplay), James Portolese (screenplay), Larry Cohen",0,0,0,English,USA,English,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
219,It's Great to Be Alive,1933,,,,,,,4.8,16.0,tt0024189,N/A,"Comedy, Musical, Sci-Fi",English,USA,Alfred L. Werker,N/A,69.0,"Raul Roulien, Edna May Oliver, Gloria Stuart, Herbert Mundin","Arthur Kober, Paul Perez, John D. Swain (story)",0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
220,I Accuse,1938,,,,43.0,3.3,51.0,7.0,290.0,tt0031503,N/A,"Drama, Horror, Sci-Fi",French,France,Abel Gance,N/A,95.0,"Victor Francen, Line Noro, Marie Lou, Jean-Max","Abel Gance (scenario & adaptation), Steve Passeur (adaptation)",0,0,0,French,France,French,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
221,The Jackal,1997,15.0,4.3,27.0,52.0,3.1,64667.0,6.3,89776.0,tt0119395,1 win & 4 nominations.,"Action, Adventure, Crime","English, Russian","USA, UK, France, Germany, Japan",Michael Caton-Jones,R,124.0,"Bruce Willis, Richard Gere, Sidney Poitier, Diane Venora","Kenneth Ross (earlier screenplay Day of the Jackal), Chuck Pfarrer (screen story), Chuck Pfarrer (screenplay)",1,4,5,English,USA,English,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Jakob the Liar,1999,29.0,4.7,72.0,62.0,3.2,17710.0,6.5,12860.0,tt0120716,2 wins & 3 nominations.,"Drama, War",English,"France, Hungary, USA",Peter Kassovitz,PG-13,120.0,"Robin Williams, Hannah Taylor Gordon, Éva Igó, István Bálint","Jurek Becker (novel), Peter Kassovitz (screenplay), Didier Decoin (screenplay)",2,3,5,English,France,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
223,The Jazz Singer,1980,15.0,3.7,20.0,72.0,3.4,4906.0,5.7,2985.0,tt0080948,Nominated for 3 Golden Globes. Another 3 wins & 7 nominations.,"Drama, Music, Romance",English,USA,Richard Fleischer,PG,115.0,"Neil Diamond, Laurence Olivier, Lucie Arnaz, Catlin Adams","Samson Raphaelson (play), Herbert Baker (screenplay), Stephen H. Foreman (adaptation)",3,10,13,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
224,Jigoku,1999,,,,30.0,3.1,544.0,4.3,220.0,tt0269401,N/A,Horror,Japanese,Japan,Teruo Ishii,N/A,102.0,"Mutsumi Fujita, Hisayoshi Hirayama, Michiko Maeda, Yôko Satomi",Teruo Ishii,0,0,0,Japanese,Japan,Japanese,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
225,Journey Into Fear,1975,,,,,,20.0,5.5,106.0,tt0073213,N/A,Thriller,English,Canada,Daniel Mann,R,100.0,"Sam Waterston, Zero Mostel, Yvette Mimieux, Scott Marlowe","Trevor Wallace (screenplay), Eric Ambler (novel)",0,0,0,English,Canada,English,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Jungle 2 Jungle,1997,20.0,4.0,41.0,33.0,2.6,193946.0,5.0,18538.0,tt0119432,3 nominations.,"Comedy, Family",English,"USA, France",John Pasquin,PG,105.0,"Tim Allen, Martin Short, JoBeth Williams, Lolita Davidovich","Hervé Palud (earlier screenplay Un indien dans la ville), Thierry Lhermitte (earlier screenplay Un indien dans la ville), Jean-Marie Pallardy (earlier screenplay Un indien dans la ville), Philippe Bruneau (earlier screenplay Un indien dans la ville), Bruce A. Evans (screenplay), Raynold Gideon (screenplay)",0,3,3,English,USA,English,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
227,Just Visiting,2001,33.0,4.7,78.0,53.0,2.9,9454.0,5.8,15465.0,tt0189192,N/A,"Comedy, Fantasy, Sci-Fi","English, French","France, USA",Jean-Marie Poiré,PG-13,88.0,"Jean Reno, Christina Applegate, Christian Clavier, Matt Ross","Jean-Marie Poiré, Christian Clavier, Christian Clavier (screenplay), Jean-Marie Poiré (screenplay), John Hughes (screenplay)",0,0,0,English,France,English,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
228,Japan Sinks,2006,,,,30.0,2.9,1793.0,5.7,1196.0,tt0473064,1 nomination.,"Adventure, Drama, Sci-Fi",Japanese,Japan,Shinji Higuchi,PG-13,135.0,"Tsuyoshi Kusanagi, Ko Shibasaki, Etsushi Toyokawa, Mao Daichi","Sakyo Komatsu (novel), Masato Kato (screenplay)",0,1,1,Japanese,Japan,Japanese,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,The Karate Kid,2010,66.0,6.2,203.0,67.0,3.5,282304.0,6.2,123447.0,tt1155076,5 wins & 13 nominations.,"Action, Drama, Family","English, Mandarin","USA, China",Harald Zwart,PG,140.0,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han","Christopher Murphey (screenplay), Robert Mark Kamen (story)",5,13,18,English,USA,English,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230,The Kid from Brooklyn,1946,60.0,5.2,5.0,69.0,3.6,670.0,6.8,754.0,tt0038668,N/A,"Comedy, Musical",English,USA,Norman Z. McLeod,PASSED,113.0,"Danny Kaye, Virginia Mayo, Vera-Ellen, Steve Cochran","Don Hartman (adapted by), Melville Shavelson (adapted by), Grover Jones (from a screenplay by), Frank Butler (from a screenplay by), Richard Connell (from a screenplay by), Lynn Root (based on a play by), Harry Clork (based on a play by)",0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
231,King Kong,2005,84.0,7.7,258.0,50.0,2.8,33765547.0,7.2,321251.0,tt0360717,Won 3 Oscars. Another 39 wins & 92 nominations.,"Action, Adventure, Drama",English,"New Zealand, USA, Germany",Peter Jackson,PG-13,187.0,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann","Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Merian C. Cooper (based on a story by), Edgar Wallace (based on a story by)",42,92,134,English,New Zealand,English,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,King Solomon's Mines,1950,92.0,7.2,12.0,60.0,3.3,3199.0,6.9,4424.0,tt0042646,Won 2 Oscars. Another 1 win & 2 nominations.,"Adventure, Romance, Action",English,USA,"Compton Bennett, Andrew Marton",PASSED,103.0,"Deborah Kerr, Stewart Granger, Richard Carlson, Hugo Haas","Helen Deutsch (screenplay), H. Rider Haggard (novel)",3,2,5,English,USA,English,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
233,A Kiss Before Dying,1991,31.0,4.0,13.0,32.0,2.8,5538.0,5.7,3901.0,tt0102220,2 wins.,"Crime, Mystery, Thriller",English,"UK, USA",James Dearden,R,94.0,"James Bonfanti, Sarah Keller, Sean Young, Martha Gehman","Ira Levin (novel), James Dearden (screenplay)",2,0,2,English,UK,English,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
234,Kiss Me Goodbye,1982,,,,58.0,3.3,1566.0,6.1,1481.0,tt0084210,N/A,"Comedy, Fantasy, Romance",English,USA,Robert Mulligan,PG,101.0,"Sally Field, James Caan, Jeff Bridges, Paul Dooley","Bruno Barreto (suggested by material from), Jorge Amado (suggested by material from), Charlie Peters (screenplay)",0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
235,Kiss of Death,1995,68.0,6.5,37.0,38.0,3.0,9337.0,5.9,14445.0,tt0113552,1 nomination.,"Action, Crime, Thriller",English,USA,Barbet Schroeder,R,101.0,"David Caruso, Samuel L. Jackson, Nicolas Cage, Helen Hunt","Eleazar Lipsky (story), Ben Hecht, Charles Lederer, Richard Price (screenplay)",0,1,1,English,USA,English,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Knock Knock,2015,34.0,5.1,64.0,21.0,2.3,7677.0,4.9,48176.0,tt3605418,N/A,"Drama, Horror, Thriller","English, Spanish","USA, Chile",Eli Roth,R,99.0,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns","Eli Roth (screenplay), Nicolás López (screenplay), Guillermo Amoedo (screenplay), Anthony Overman (story), Michael Ronald Ross (story)",0,0,0,English,USA,English,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
237,Seance,2000,80.0,7.0,5.0,62.0,3.4,958.0,6.7,1287.0,tt0259388,2 wins & 1 nomination.,"Drama, Horror, Thriller",Japanese,Japan,Kiyoshi Kurosawa,N/A,118.0,"Kôji Yakusho, Jun Fubuki, Tsuyoshi Kusanagi, Hikari Ishida","Mark McShane (novel), Tetsuya Onishi (teleplay), Kiyoshi Kurosawa (teleplay)",2,1,3,Japanese,Japan,Japanese,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
238,The Ladykillers,2004,55.0,6.1,187.0,42.0,2.8,65465.0,6.2,85457.0,tt0335245,5 wins & 4 nominations.,"Comedy, Crime, Thriller","English, Vietnamese",USA,"Ethan Coen, Joel Coen",R,104.0,"Tom Hanks, Irma P. Hall, Marlon Wayans, J.K. Simmons","Joel Coen (screenplay), Ethan Coen (screenplay), William Rose (movie ""The Ladykillers"")",5,4,9,English,USA,English,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
239,The Lady Vanishes,1979,20.0,3.2,5.0,44.0,3.1,775.0,5.9,1678.0,tt0079428,N/A,"Action, Comedy, Mystery","English, German",UK,Anthony Page,PG,95.0,"Elliott Gould, Cybill Shepherd, Angela Lansbury, Herbert Lom","George Axelrod (screenplay), Sidney Gilliat (based on the screenplay by), Frank Launder (based on the screenplay by), Ethel Lina White (novel)",0,0,0,English,UK,English,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
240,The Land That Time Forgot,2009,,,,9.0,2.2,369.0,3.2,1514.0,tt1410205,N/A,"Action, Fantasy, Sci-Fi","English, German",USA,C. Thomas Howell,NOT RATED,88.0,"C. Thomas Howell, Timothy Bottoms, Lindsey McKeon, Darren Dalton","Edgar Rice Burroughs (novel), Darren Dalton (screenplay)",0,0,0,English,USA,English,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
241,The Lake House,2006,35.0,5.0,155.0,73.0,3.5,429635.0,6.8,116370.0,tt0410297,2 wins & 2 nominations.,"Drama, Fantasy, Romance",English,USA,Alejandro Agresti,PG,99.0,"Keanu Reeves, Sandra Bullock, Christopher Plummer, Ebon Moss-Bachrach","David Auburn (screenplay), Eun-Jeong Kim (motion picture ""Siworae""), Ji-na Yeo (motion picture ""Siworae"")",2,2,4,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
